ID;time-stamp;hour;day-of-week;available-bike-stands;available-bikes
1001;2015-02-02 08:49:33+00:00;8;Monday;6;10
1001;2015-02-02 08:58:38+00:00;8;Monday;5;11
1001;2015-02-02 08:59:13+00:00;8;Monday;6;10
1001;2015-02-02 09:09:17+00:00;9;Monday;6;10
1001;2015-02-02 09:14:21+00:00;9;Monday;6;10
1001;2015-02-02 09:15:14+00:00;9;Monday;7;9
1001;2015-02-02 09:15:53+00:00;9;Monday;8;8
1001;2015-02-02 09:23:16+00:00;9;Monday;8;8
1001;2015-02-02 09:23:56+00:00;9;Monday;9;7
1001;2015-02-02 09:28:37+00:00;9;Monday;10;6
1001;2015-02-02 09:33:34+00:00;9;Monday;10;6
1001;2015-02-02 09:34:12+00:00;9;Monday;11;5
1001;2015-02-02 09:35:39+00:00;9;Monday;11;5
1001;2015-02-02 09:36:22+00:00;9;Monday;12;4
1001;2015-02-02 09:46:26+00:00;9;Monday;12;4
1001;2015-02-02 09:48:55+00:00;9;Monday;11;5
1001;2015-02-02 09:51:34+00:00;9;Monday;11;5
1001;2015-02-02 09:52:11+00:00;9;Monday;12;4
1001;2015-02-02 09:55:36+00:00;9;Monday;13;3
1001;2015-02-02 09:57:34+00:00;9;Monday;13;3
1001;2015-02-02 10:00:26+00:00;10;Monday;13;3
1001;2015-02-02 10:01:01+00:00;10;Monday;14;2
1001;2015-02-02 10:11:04+00:00;10;Monday;14;2
1001;2015-02-02 10:21:38+00:00;10;Monday;15;1
1001;2015-02-02 10:26:16+00:00;10;Monday;14;2
1001;2015-02-02 10:33:19+00:00;10;Monday;13;3
1001;2015-02-02 10:34:09+00:00;10;Monday;14;2
1001;2015-02-02 10:44:13+00:00;10;Monday;14;2
1001;2015-02-02 10:54:17+00:00;10;Monday;14;2
1001;2015-02-02 11:04:21+00:00;11;Monday;14;2
1001;2015-02-02 11:14:25+00:00;11;Monday;14;2
1001;2015-02-02 11:17:30+00:00;11;Monday;14;2
1001;2015-02-02 11:17:57+00:00;11;Monday;14;2
1001;2015-02-02 11:18:55+00:00;11;Monday;14;2
1001;2015-02-02 11:20:30+00:00;11;Monday;14;2
1001;2015-02-02 11:22:09+00:00;11;Monday;14;2
1001;2015-02-02 11:26:00+00:00;11;Monday;12;4
1001;2015-02-02 11:29:12+00:00;11;Monday;13;3
1001;2015-02-02 11:33:27+00:00;11;Monday;12;4
1001;2015-02-02 11:37:17+00:00;11;Monday;10;6
1001;2015-02-02 11:47:21+00:00;11;Monday;10;6
1001;2015-02-02 11:50:15+00:00;11;Monday;9;7
1001;2015-02-02 11:52:40+00:00;11;Monday;10;6
1001;2015-02-02 11:57:54+00:00;11;Monday;9;7
1001;2015-02-02 11:59:21+00:00;11;Monday;9;7
1001;2015-02-02 12:00:00+00:00;12;Monday;8;8
1001;2015-02-02 12:02:33+00:00;12;Monday;6;10
1001;2015-02-02 12:07:42+00:00;12;Monday;5;11
1001;2015-02-02 12:08:33+00:00;12;Monday;3;13
1001;2015-02-02 12:14:21+00:00;12;Monday;3;13
1001;2015-02-02 12:15:37+00:00;12;Monday;3;13
1001;2015-02-02 12:16:15+00:00;12;Monday;4;12
1001;2015-02-02 12:17:35+00:00;12;Monday;6;10
1001;2015-02-02 12:18:32+00:00;12;Monday;7;9
1001;2015-02-02 12:28:36+00:00;12;Monday;7;9
1001;2015-02-02 12:35:29+00:00;12;Monday;7;9
1001;2015-02-02 12:36:33+00:00;12;Monday;8;8
1001;2015-02-02 12:37:13+00:00;12;Monday;9;7
1001;2015-02-02 12:38:40+00:00;12;Monday;8;8
1001;2015-02-02 12:44:29+00:00;12;Monday;8;8
1001;2015-02-02 12:45:17+00:00;12;Monday;9;7
1001;2015-02-02 12:49:41+00:00;12;Monday;10;6
1001;2015-02-02 12:52:24+00:00;12;Monday;9;7
1001;2015-02-02 12:56:20+00:00;12;Monday;8;8
1001;2015-02-02 12:57:26+00:00;12;Monday;9;7
1001;2015-02-02 13:01:41+00:00;13;Monday;8;8
1001;2015-02-02 13:07:04+00:00;13;Monday;7;9
1001;2015-02-02 13:17:41+00:00;13;Monday;7;9
1001;2015-02-02 13:18:08+00:00;13;Monday;8;8
1001;2015-02-02 13:19:34+00:00;13;Monday;8;8
1001;2015-02-02 13:20:11+00:00;13;Monday;9;7
1001;2015-02-02 13:20:55+00:00;13;Monday;8;8
1001;2015-02-02 13:30:58+00:00;13;Monday;8;8
1001;2015-02-02 13:33:23+00:00;13;Monday;9;7
1001;2015-02-02 13:35:19+00:00;13;Monday;8;8
1001;2015-02-02 13:40:11+00:00;13;Monday;8;8
1001;2015-02-02 13:40:56+00:00;13;Monday;9;7
1001;2015-02-02 13:46:30+00:00;13;Monday;9;7
1001;2015-02-02 13:47:09+00:00;13;Monday;10;6
1001;2015-02-02 13:52:53+00:00;13;Monday;9;7
1001;2015-02-02 13:54:33+00:00;13;Monday;10;6
1001;2015-02-02 13:59:50+00:00;13;Monday;9;7
1001;2015-02-02 14:02:37+00:00;14;Monday;9;7
1001;2015-02-02 14:03:08+00:00;14;Monday;10;6
1001;2015-02-02 14:08:38+00:00;14;Monday;9;7
1001;2015-02-02 14:17:21+00:00;14;Monday;8;8
1001;2015-02-02 14:21:02+00:00;14;Monday;7;9
1001;2015-02-02 14:31:05+00:00;14;Monday;7;9
1001;2015-02-02 14:32:57+00:00;14;Monday;6;10
1001;2015-02-02 14:35:22+00:00;14;Monday;6;10
1001;2015-02-02 14:36:01+00:00;14;Monday;6;10
1001;2015-02-02 14:37:17+00:00;14;Monday;7;9
1001;2015-02-02 14:43:31+00:00;14;Monday;5;11
1001;2015-02-02 14:43:59+00:00;14;Monday;6;10
1001;2015-02-02 14:46:31+00:00;14;Monday;7;9
1001;2015-02-02 14:49:12+00:00;14;Monday;8;8
1001;2015-02-02 14:51:30+00:00;14;Monday;7;9
1001;2015-02-02 14:52:19+00:00;14;Monday;8;8
1001;2015-02-02 14:58:36+00:00;14;Monday;8;8
1001;2015-02-02 14:59:38+00:00;14;Monday;8;8
1001;2015-02-02 15:00:37+00:00;15;Monday;9;7
1001;2015-02-02 15:01:00+00:00;15;Monday;8;8
1001;2015-02-02 15:11:04+00:00;15;Monday;8;8
1001;2015-02-02 15:14:20+00:00;15;Monday;7;9
1001;2015-02-02 15:21:43+00:00;15;Monday;6;10
1001;2015-02-02 15:29:18+00:00;15;Monday;4;12
1001;2015-02-02 15:31:17+00:00;15;Monday;3;13
1001;2015-02-02 15:34:22+00:00;15;Monday;2;14
1001;2015-02-02 15:39:49+00:00;15;Monday;1;15
1001;2015-02-02 15:45:26+00:00;15;Monday;0;16
1001;2015-02-02 15:55:30+00:00;15;Monday;0;16
1001;2015-02-02 16:04:37+00:00;16;Monday;0;16
1001;2015-02-02 16:05:10+00:00;16;Monday;1;15
1001;2015-02-02 16:07:56+00:00;16;Monday;0;16
1001;2015-02-02 16:17:59+00:00;16;Monday;0;16
1001;2015-02-02 16:19:34+00:00;16;Monday;1;15
1001;2015-02-02 16:22:14+00:00;16;Monday;0;16
1001;2015-02-02 16:29:17+00:00;16;Monday;0;16
1001;2015-02-02 16:30:25+00:00;16;Monday;2;14
1001;2015-02-02 16:31:17+00:00;16;Monday;0;16
1001;2015-02-02 16:33:26+00:00;16;Monday;0;16
1001;2015-02-02 16:34:24+00:00;16;Monday;0;16
1001;2015-02-02 16:35:39+00:00;16;Monday;0;16
